"","d","d","d"
"434","0.000558700115914252","Psychology","Active.sport"
"435","0.0466567532564327","Psychology","Gardening"
"436","-0.0216665389444117","Psychology","Celebrities"
"437","0.0574086771568945","Psychology","Shopping"
"438","0.0582788984717019","Psychology","Science.and.technology"
"439","0.261966976121877","Psychology","Theatre"
"440","0.0139533351487021","Psychology","Fun.with.friends"
"441","0.0566999849765198","Psychology","Adrenaline.sports"
"442","0.0585158109711451","Psychology","Pets"
"443","-0.0137602920968845","Psychology","Flying"
"444","-0.0239350099427174","Psychology","Storm"
"445","0.0823337704505498","Psychology","Darkness"
"446","-0.00504975196076643","Psychology","Heights"
"447","0.00231376306118717","Psychology","Spiders"
"448","0.00896254746220567","Psychology","Snakes"
"449","0.0164721284270054","Psychology","Rats"
"450","-0.0145360658849888","Psychology","Ageing"
"451","-0.0206294223696528","Psychology","Dangerous.dogs"
"452","-0.0519260480028693","Psychology","Fear.of.public.speaking"
"453","0.124804430764919","Psychology","Healthy.eating"
"454","0.106913809010591","Psychology","Daily.events"
"455","0.022791127874101","Psychology","Prioritising.workload"
"456","0.149837076069457","Psychology","Writing.notes"
"457","0.129113845530207","Psychology","Workaholism"
"458","0.079542488886448","Psychology","Thinking.ahead"
"459","0.0136653189862492","Psychology","Final.judgement"
"460","0.0909747120703888","Psychology","Reliability"
"461","0.0806907361342123","Psychology","Keeping.promises"
"462","0.0147263442172067","Psychology","Loss.of.interest"
"463","0.0579954097929072","Psychology","Friends.versus.money"
"464","-0.00678578576472829","Psychology","Funniness"
"465","0.0354962521903284","Psychology","Fake"
"466","-0.0449077268416203","Psychology","Criminal.damage"
"467","-0.000197771842929022","Psychology","Decision.making"
"468","0.076841465019151","Psychology","Elections"
"469","0.115989907319806","Psychology","Self.criticism"
"470","0.170009552378438","Psychology","Judgment.calls"
"471","0.0641875013723261","Psychology","Hypochondria"
"472","0.187438407203701","Psychology","Empathy"
"473","-0.0419031980789816","Psychology","Eating.to.survive"
"474","0.0149266197423693","Psychology","Giving"
"475","0.107763379985284","Psychology","Compassion.to.animals"
"476","0.053951486188962","Psychology","Borrowed.stuff"
"477","0.0419880968863939","Psychology","Loneliness"
"478","-0.0858063926663964","Psychology","Cheating.in.school"
"479","-0.0100829585842304","Psychology","Health"
"480","-0.0441430307869954","Psychology","Changing.the.past"
"481","0.0610120480240539","Psychology","God"
"482","0.0375888917208963","Psychology","Dreams"
"483","0.130351146010288","Psychology","Charity"
"484","0.0188875024026893","Psychology","Number.of.friends"
"485","0.0233062055156476","Psychology","Waiting"
"486","0.0201989397279165","Psychology","New.environment"
"487","0.0361929835989193","Psychology","Mood.swings"
"488","0.129790873448817","Psychology","Appearence.and.gestures"
"489","0.0401456358752854","Psychology","Socializing"
"490","0.0298077047591462","Psychology","Achievements"
"491","0.0219834363258544","Psychology","Responding.to.a.serious.letter"
"492","0.069853921421885","Psychology","Children"
"493","0.0746597592030528","Psychology","Assertiveness"
"494","-0.0507902694936685","Psychology","Getting.angry"
"495","0.0410357681543357","Psychology","Knowing.the.right.people"
"496","-0.0409937368794483","Psychology","Public.speaking"
"497","0.0932027229469888","Psychology","Unpopularity"
"498","0.136356226861225","Psychology","Life.struggles"
"499","0.0138312968667234","Psychology","Happiness.in.life"
"500","-0.0235888984206348","Psychology","Energy.levels"
"501","-0.00908858384129568","Psychology","Small...big.dogs"
"502","0.00305591520707063","Psychology","Personality"
"503","0.0235627969391701","Psychology","Finding.lost.valuables"
"504","0.028113029617353","Psychology","Getting.up"
"505","0.0773484340723775","Psychology","Interests.or.hobbies"
"506","0.00580775738813725","Psychology","Parents..advice"
"507","0.156110689719173","Psychology","Questionnaires.or.polls"
"508","-0.0109003692799924","Psychology","Age"
"509","-0.0234099992581086","Psychology","Number.of.siblings"
"510","-0.0727676771740442","Politics","Music"
"511","-0.027192589090407","Politics","Slow.songs.or.fast.songs"
"512","0.0220150431628504","Politics","Movies"
"513","0.400785551156176","Politics","History"
"514","0.197836924163005","Politics","Psychology"
"515","1","Politics","Politics"
"516","0.103713804323525","Politics","Mathematics"
"517","0.130046240036236","Politics","Physics"
"518","0.0581833644868621","Politics","Internet"
"519","0.092069069250504","Politics","PC"
"520","0.299310283692126","Politics","Economy.Management"
"521","-0.0887744168146167","Politics","Biology"
"522","-0.0569418917860324","Politics","Chemistry"
"523","0.0895855725156327","Politics","Reading"
"524","0.279686876131745","Politics","Geography"
"525","0.156667367003997","Politics","Foreign.languages"
"526","0.00513130070801675","Politics","Medicine"
"527","0.451206815737659","Politics","Law"
"528","0.145570992959932","Politics","Cars"
"529","0.0962508001254724","Politics","Art.exhibitions"
"530","0.188295713599104","Politics","Religion"
"531","-0.0456027119736425","Politics","Countryside..outdoors"
"532","0.012779400454577","Politics","Dancing"
"533","0.0713368599957993","Politics","Musical.instruments"
"534","0.0898174399365196","Politics","Writing"
